"","j","error","rmse","cor","auc","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate"
"1",1,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,20,200,20,0.45
"2",2,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,20,200,20,0.45
"3",3,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,20,200,20,0.45
"4",4,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,20,200,20,0.45
"5",5,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,20,200,20,0.45
"6",6,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,20,200,20,0.45
"7",7,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,20,200,20,0.45
"8",8,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,20,200,20,0.45
"9",9,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,20,200,20,0.45
"10",10,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,21,200,20,0.45
"11",11,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,21,200,20,0.45
"12",12,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,21,200,20,0.45
"13",13,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,21,200,20,0.45
"14",14,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,21,200,20,0.45
"15",15,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,21,200,20,0.45
"16",16,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,21,200,20,0.45
"17",17,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,21,200,20,0.45
"18",18,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,21,200,20,0.45
"19",19,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,22,200,20,0.45
"20",20,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,22,200,20,0.45
"21",21,1.44124810520679,11.245961993781,0.864936285994091,0.691868131868132,4,22,200,20,0.45
"22",22,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,22,200,20,0.45
"23",23,1.38686924553271,11.9515063628697,0.847405015024059,0.628131868131868,5,22,200,20,0.45
